2012;03;1 Η 2 Το  The (2) The (3) The;μέση απασχόληση δεν παρουσιάζει γενικό μέσο ημερομίσθιο των γυναικών Number of Enterprises refers to number number of insured individuals is not above figures refer to insured individuals COMMENTS;μεγάλες αποκλίσεις είναι το 92.32% του of units (branches) distinctIf the same who are employed;σχετικά με το γενικού of each person is full-time;φύλο (άνδρες. μέσου ημερομισθίου enterprise employed in and their;γυναίκες) των more than one average wages;ανδρών employers per day;with the do not;same include leave;economic activity benefits &;is counted season;as one bonuses;NA;NA;
2013;03;ΚΩΔ;NA;Αριθμός;Αριθμός;NA;(2) Ασφαλισμένων;NA;Μέση;Απασχόληση;(3);Μέσο;Ημερομίσθιο;(3);NA;
2013;03;COD;Οικονομική Δραστηριότητα; Επιχειρήσεων No of Enterprises;Άνδρες Number Males;Γυναίκες of Insured Females;Individuals Σύνολο Total;(2) %;Average Άνδρες Males;Employment Γυναίκες Females;Σύνολο Total;Άνδρες Males;Average Γυναίκες Wage Females;(3) Σύνολο Total;Economic Activity;
2013;03;ΑΓΝ;ΑΓΝΩΣΤΗ; 0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;UNKNOWN;
2013;03;01;ΓΕΩΡΓΙΑ. ΚΤΗΝΟΤΡΟΦΙΑ. ΘΗΡΑ ΚΑΙ ΣΒΔ;685;738;246;984;0.42;23.02;23.20;23.07;41.54;41.48;41.52;AGRICULTURE. HUNTING AND RELATED SERVICE ACTIVITIES;
2013;03;02;ΔΑΣΟΚΟΜΙΑ. ΥΛΟΤΟΜΙΑ ΚΑΙ ΣΥΝΑΦΕΙΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ;94;105;31;136;0.06;15.99;21.16;17.17;35.19;35.95;35.41;FORESTRY. LOGGING AND RELATED SERVICES;
2013;03;05;ΑΛΙΕΙΑ. ΕΚΜΕΤΑΛΛΕΥΣΗ ΙΧΘΥΟΤΡΟΦΕΙΩΝ ΚΑΙ ΜΟΝΑΔΩΝ ΠΑΡΑΓΩΓΗΣ ΓΟΝΟΥ ΒΔΣ ΜΕ ΤΗΝ ΑΛΙΕΙΑ;155;210;57;267;0.11;23.77;23.98;23.82;49.77;42.62;48.23;FISHING. OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING;
2013;03;10;ΕΞΟΡΥΞΗ ΑΝΘΡΑΚΑ ΚΑΙ ΛΙΓΝΙΤΗ. ΕΞΟΡΥΞΗ ΤΥΡΦΗΣ;5;6;2;8;0.00;25.33;25.00;25.25;55.19;46.31;52.99;MINING OF COAL AND LIGNITE;
2013;03;11;ΑΝΤΛΗΣΗ ΑΡΓΟΥ ΠΕΤΡΕΛΑΙΟΥ ΚΑΙ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ.ΒΔΣ ΜΕ ΤΗΝ ΑΝΤΛΗΣΗ ΠΕΤΡΕΛΑΙΟΥ ΚΑΙ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ.ΜΕ ΕΞΑΙΡΕΣΗ ΤΙΣ ΜΕΛΕΤΕΣ;3;4;1;5;0.00;19.00;25.00;20.20;67.55;71.56;68.54;EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS; SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION. EXCLUDING SURVEYING;
2013;03;12;ΕΞΟΡΥΞΗ ΜΕΤΑΛΛΕΥΜΑΤΩΝ ΟΥΡΑΝΙΟΥ ΚΑΙ ΘΟΡΙΟΥ;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;MINING OF URANIUM AND THORIUM ORES;
2013;03;13;ΕΞΟΡΥΞΗ ΜΕΤΑΛΛΟΥΧΩΝ ΜΕΤΑΛΛΕΥΜΑΤΩΝ;13;20;3;23;0.01;18.30;21.67;18.74;42.34;27.32;40.07;MINING OF METAL ORES;
2013;03;14;ΑΛΛΕΣ ΕΞΟΡΥΚΤΙΚΕΣ ΚΑΙ ΛΑΤΟΜΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ;176;370;50;420;0.18;21.45;22.88;21.62;51.81;43.39;50.75;OTHER MINING AND QUARRYING;
2013;03;15;ΒΙΟΜΗΧΑΝΙΑ ΤΡΟΦΙΜΩΝ ΚΑΙ ΠΟΤΩΝ;5649;5672;3811;9483;4.01;23.44;22.74;23.16;39.34;34.64;37.49;MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES;
2013;03;16;ΠΑΡΑΓΩΓΗ ΠΡΟΙΟΝΤΩΝ ΚΑΠΝΟΥ;7;12;11;23;0.01;22.17;19.82;21.04;56.36;50.45;53.70;MANUFACTURE OF TOBACCO PRODUCTS;
2013;03;17;ΠΑΡΑΓΩΓΗ ΚΛΩΣΤΟΥΦΑΝΤΟΥΡΓΙΚΩΝ ΥΛΩΝ;525;577;380;957;0.40;22.70;21.44;22.20;38.78;39.11;38.91;MANUFACTURE OF TEXTILES;
2013;03;18;ΚΑΤΑΣΚΕΥΗ ΕΙΔΩΝ ΕΝΔΥΣΗΣ.ΚΑΤΕΡΓΑΣΙΑ ΚΑΙ ΒΑΦΗ ΓΟΥΝΑΡΙΚΩΝ;1034;651;1055;1706;0.72;22.55;22.50;22.52;37.64;38.03;37.88;MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEING OF FUR;
2013;03;19;ΚΑΤΕΡΓΑΣΙΑ ΚΑΙ ΔΕΨΗ ΔΕΡΜΑΤΟΣ. ΚΑΤΑΣΚΕΥΗ ΕΙΔΩΝ ΤΑΞΙΔΙΟΥ(ΑΠΟΣΚΕΥΩΝ). ΤΣΑΝΤΩΝ. ΕΙΔΩΝ ΣΕΛΟΠΟΙΙΑΣ. ΕΙΔΩΝ ΣΑΓΜΑΤΟΠΟΙΙΑΣ ΚΑΙ ΥΠΟΔΗΜΑΤΩΝ;194;265;118;383;0.16;20.58;20.38;20.52;42.64;39.20;41.59;TANNING AND DRESSING OF LEATHER ; MANUFACTURE OF LUGGAGE. HANDBAGS. SADDLERY. HARNESS AND FOOTWEAR;
2013;03;20;ΒΙΟΜΗΧΑΝΙΑ ΞΥΛΟΥ ΚΑΙ ΚΑΤΑΣΚΕΥΗ ΠΡΟΙΟΝΤΩΝ ΑΠΌ ΞΥΛΟ ΚΑΙ ΦΕΛΛΟ.ΕΚΤΟΣ ΑΠΌ ΤΑ ΕΠΙΠΛΑ ΚΑΤΑΣΚΕΥΗ ΕΙΔΩΝ ΚΑΛΑΘΟΠΟΙΙΑΣ ΚΑΙ ΣΠΑΡΤΟΠΛΕΚΤΙΚΗΣ;648;905;160;1065;0.45;21.32;22.34;21.47;37.51;35.05;37.13;MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK. EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS;
2013;03;21;ΠΑΡΑΓΩΓΗ ΧΑΡΤΟΠΟΛΤΟΥ.ΧΑΡΤΙΟΥ ΚΑΙ ΠΡΟΙΟΝΤΩΝ ΑΠΌ ΧΑΡΤΙ;256;468;175;643;0.27;22.90;21.57;22.53;41.39;39.55;40.91;MANUFACTURE OF PULP.PAPER AND PAPER PRODUCTS;
2013;03;ΚΩΔ;NA;Αριθμός;Αριθμός;NA;Ασφαλισμένων (2);NA;Μέση;Απασχόληση;(3);Μέσο;Ημερομίσθιο;(3);NA;
2013;03;COD;Οικονομική Δραστηριότητα;Επιχειρήσεων  No of Enterprises;Number Άνδρες Males;of Insured Γυναίκες Females;Individuals Σύνολο Total;(2) %;Average Άνδρες Males;Employment Γυναίκες Females;Σύνολο Total;Άνδρες Males;Average Wage Γυναίκες Females;(3) Σύνολο Total;Economic Activity;
2013;03;22;ΕΚΔΟΣΕΙΣ.ΕΚΤΥΠΩΣΕΙΣ ΚΑΙ ΑΝΑΠΑΡΑΓΩΓΗ ΠΡΟΕΓΓΕΓΡΑΜΜΕΝΩΝ ΜΕΣΩΝ ΕΓΓΡΑΦΗΣ ΗΧΟΥ ΚΑΙ ΕΙΚΟΝΑΣ ΚΑΙ ΜΕΣΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ; 1551;1667;1327;2994;1.27;23.58;23.67;23.62;43.94;41.27;42.75;PUBLISHING. PRINTING AND REPRODUCTION OF RECORDED MEDIA;
2013;03;23;ΠΑΡΑΓΩΓΗ ΟΠΤΑΝΘΡΑΚΑ (ΚΩΚ).ΠΡΟΙΟΝΤΩΝ ΔΙΥΛΙΣΗΣ ΠΕΤΡΕΛΑΙΟΥ ΚΑΙ ΠΥΡΗΝΙΚΩΝ ΚΑΥΣΙΜΩΝ;29;66;14;80;0.03;24.45;24.64;24.49;82.92;53.92;77.81;MANUFACTURE OF COKE. REFINED PETROLEUM PRODUCTS AND NUCLEAR FUEL;
2013;03;24;ΠΑΡΑΓΩΓΗ ΧΗΜΙΚΩΝ ΟΥΣΙΩΝ ΚΑΙ ΠΡΟΙΟΝΤΩΝ;354;567;259;826;0.35;23.57;23.55;23.57;46.86;45.00;46.28;MANUFACTURE OF CHEMICALS AND CHEMICALS PRODUCTS;
2013;03;25;ΚΑΤΑΣΚΕΥΗ ΠΡΟΙΟΝΤΩΝ ΑΠΌ ΕΛΑΣΤΙΚΟ (ΚΑΟΥΤΣΟΥΚ) ΚΑΙ ΠΛΑΣΤΙΚΕΣ ΥΛΕΣ;481;925;267;1192;0.50;23.05;22.25;22.87;40.95;39.59;40.66;MANUFACTURE OF RUBBER AND PLASTIC PRODUCTS;
2013;03;26;ΚΑΤΑΣΚΕΥΗ ΑΛΛΩΝ ΠΡΟΙΟΝΤΩΝ ΑΠΌ ΜΗ ΜΕΤΑΛΛΙΚΑ ΟΡΥΚΤΑ;1041;1575;293;1868;0.79;19.97;22.22;20.32;42.83;38.04;42.01;MANUFACTURE OF OTHER NON- METALLIC MINERAL PRODUCTS;
2013;03;27;ΠΑΡΑΓΩΓΗ ΒΑΣΙΚΩΝ ΜΕΤΑΛΛΩΝ;135;244;45;289;0.12;22.68;22.49;22.65;44.58;42.43;44.25;MANUFACTURE OF BASIC METALS;
2013;03;28;ΚΑΤΑΣΚΕΥΗ ΜΕΤΑΛΛΙΚΩΝ ΠΡΟΙΟΝΤΩΝ.ΜΕ ΕΞΑΙΡΕΣΗ ΤΑ ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΤΑ ΕΙΔΗ ΕΞΟΠΛΙΣΜΟΥ;2370;3593;572;4165;1.76;21.29;22.38;21.44;40.92;39.15;40.67;MANUFACTURE OF FABRICATED METAL PRODUCTS. EXCEPT MACHINERY AND EQUIPMENT;
2013;03;29;ΚΑΤΑΣΚΕΥΗ ΜΗΧΑΝΗΜΑΤΩΝ ΚΑΙ ΕΙΔΩΝ ΕΞΟΠΛΙΣΜΟΥ ΜΑΚ;1640;2680;470;3150;1.33;22.83;23.27;22.89;44.80;39.57;44.01;MANUFACTURE OF MACHINERY AND EQUIPMENT;
2013;03;30;ΚΑΤΑΣΚΕΥΗ ΜΗΧΑΝΩΝ ΓΡΑΦΕΙΟΥ ΚΑΙ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;40;48;17;65;0.03;24.04;22.24;23.57;40.44;53.99;43.78;MANUFACTURE OF OFFICE MACHINERY AND COMPUTERS;
2013;03;31;ΚΑΤΑΣΚΕΥΗ ΗΛΕΚΤΡΙΚΩΝ ΜΗΧΑΝΩΝ ΚΑΙ ΣΥΣΚΕΥΩΝ ΜΑΚ;421;696;154;850;0.36;23.04;23.36;23.10;41.93;40.67;41.70;MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS NEC;
2013;03;32;ΚΑΤΑΣΚΕΥΗ ΕΞΟΠΛΙΣΜΟΥ ΚΑΙ ΣΥΣΚΕΥΩΝ ΡΑΔΙΟΦΩΝΙΑΣ. ΤΗΛΕΟΡΑΣΗΣ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΩΝ;130;156;50;206;0.09;23.11;23.88;23.30;43.18;41.27;42.71;MANUFACTURE OF RADIO TELEVISION AND COMMUNICATION EQUIPMENT AND APPARATUS;
2013;03;33;ΚΑΤΑΣΚΕΥΗ ΙΑΤΡΙΚΩΝ ΟΡΓΑΝΩΝ. ΟΡΓΑΝΩΝ ΑΚΡΙΒΕΙΑΣ ΚΑΙ ΟΠΤΙΚΩΝ ΟΡΓΑΝΩΝ. ΚΑΤΑΣΚΕΥΗ ΡΟΛΟΓΙΩΝ ΚΆΘΕ ΕΙΔΟΥΣ;486;538;265;803;0.34;24.03;24.08;24.05;42.01;36.27;40.11;MANUFACTURE OF MEDICAL. PRECISION AND OPTICAL INSTRUMENTS. WATCHES AND CLOCKS;
2013;03;34;ΚΑΤΑΣΚΕΥΗ ΑΥΤΟΚΙΝΗΤΩΝ ΟΧΗΜΑΤΩΝ. ΚΑΤΑΣΚΕΥΗ ΡΥΜΟΥΛΚΟΥΜΕΝΩΝ ΚΑΙ ΗΜΙΡΥΜΟΥΛΚΟΥΜΕΝΩΝ ΟΧΗΜΑΤΩΝ;93;136;18;154;0.07;21.84;20.50;21.68;42.67;45.68;43.01;MANUFACTURE OF MOTOR VEHICLES. TRAILERS AND SEMI- TRAILERS;
2013;03;35;ΚΑΤΑΣΚΕΥΗ ΛΟΙΠΟΥ ΕΞΟΠΛΙΣΜΟΥ ΜΕΤΑΦΟΡΩΝ;360;824;126;950;0.40;18.92;23.16;19.48;55.06;43.59;53.26;MANUFACTURE OF OTHER TRANSPORT EQUIPMENT;
2013;03;36;ΚΑΤΑΣΚΕΥΗ ΕΠΙΠΛΩΝ. ΛΟΙΠΕΣ ΒΙΟΜΗΧΑΝΙΕΣ ΜΑΚ;1307;1461;509;1970;0.83;20.85;21.63;21.05;39.80;35.80;38.74;MANUFACTURE OF FURNITURE; MANUFACTURING NEC;
2013;03;37;ΑΝΑΚΥΚΛΩΣΗ;126;278;76;354;0.15;23.03;23.30;23.09;36.69;33.73;36.05;RECYCLING;
2013;03;40;ΠΑΡΟΧΗ ΗΛΕΚΤΡΙΚΟΥ ΡΕΥΜΑΤΟΣ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ.ΑΤΜΟΥ ΚΑΙ ΖΕΣΤΟΥ ΝΕΡΟΥ;607;727;369;1096;0.46;23.34;22.38;23.02;54.47;44.43;51.19;ELECTRICITY. GAS STEAM AND HOT WATER SUPPLY;
2013;03;ΚΩΔ;NA;Αριθμός;Αριθμός;NA;Ασφαλισμένων (2);NA;Μέση;Απασχόληση;(3);Μέσο;Ημερομίσθιο;(3);NA;
2013;03;COD;Οικονομική Δραστηριότητα;Επιχειρήσεων  No of Enterprises;Number Άνδρες Males;of Insured Γυναίκες Females;Individuals Σύνολο Total;(2) %;Average Άνδρες Males;Employment Γυναίκες Females;Σύνολο Total;Άνδρες Males;Average Wage Γυναίκες Females;(3) Σύνολο Total;Economic Activity;
2013;03;41;ΣΥΛΛΟΓΗ. ΚΑΘΑΡΙΣΜΟΣ ΚΑΙ ΔΙΑΝΟΜΗ ΝΕΡΟΥ; 184;316;105;421;0.18;23.41;24.26;23.62;52.95;56.21;53.79;COLLECTION. PURIFICATION AND DISTRIBUTION OF WATER;
2013;03;45;ΚΑΤΑΣΚΕΥΕΣ;6680;8267;2206;10473;4.43;21.80;23.62;22.19;40.87;40.48;40.78;CONSTRUCTION;
2013;03;50;ΕΜΠΟΡΙΟ. ΣΥΝΤΗΡΗΣΗ ΚΑΙ ΕΠΙΣΚΕΥΗ ΑΥΤΟΚΙΝΗΤΩΝ ΟΧΗΜΑΤΩΝ ΚΑΙ ΜΟΤΟΣΥΚΛΕΤΩΝ. ΛΙΑΝΙΚΗ ΠΩΛΗΣΗ ΚΑΥΣΙΜΩΝ ΟΧΗΜΑΤΩΝ;8689;10918;1716;12634;5.34;23.74;23.69;23.73;37.19;35.28;36.93;SALE. MAINTENANCE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES; RETAIL SALE OF AUTOMOTIVE FUEL;
2013;03;51;ΧΟΝΔΡΙΚΟ ΕΜΠΟΡΙΟ ΚΑΙ ΕΜΠΟΡΙΟ ΜΕ ΠΡΟΜΗΘΕΙΑ. ΕΚΤΟΣ ΑΠΌ ΤΟ ΕΜΠΟΡΙΟ ΑΥΤΟΚΙΝΗΤΩΝ ΟΧΗΜΑΤΩΝ ΚΑΙ ΜΟΤΟΣΥΚΛΕΤΩΝ;18698;24387;11433;35820;15.15;23.76;23.62;23.72;42.90;41.52;42.46;WHOLESALE TRADE AND COMMISSION TRADE. EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES;
2013;03;52;ΛΙΑΝΙΚΟ ΕΜΠΟΡΙΟ. ΕΚΤΟΣ ΑΠΌ ΤΟ ΕΜΠΟΡΙΟ ΑΥΤΟΚΙΝΗΤΩΝ ΟΧΗΜΑΤΩΝ ΚΑΙ ΜΟΤΟΣΥΚΛΕΤΩΝ. ΕΠΙΣΚΕΥΗ ΕΙΔΩΝ ΑΤΟΜΙΚΗΣ ΚΑΙ ΟΙΚΙΑΚΗΣ ΧΡΗΣΗΣ;28198;12752;22385;35137;14.86;23.87;23.73;23.78;36.55;36.05;36.23;RETAIL TRADE. EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES; REPAIR OF PERSONAL AND HOUSEHOLD GOODS;
2013;03;55;ΞΕΝΟΔΟΧΕΙΑ ΚΑΙ ΕΣΤΙΑΤΟΡΙΑ;18114;12453;11711;24164;10.22;18.86;18.62;18.74;38.05;34.59;36.38;HOTELS AND RESTAURANTS;
2013;03;60;ΧΕΡΣΑΙΕΣ ΜΕΤΑΦΟΡΕΣΜΕΤΑΦΟΡΕΣ ΜΕΣΩ ΑΓΩΓΩΝ;6172;7613;672;8285;3.50;22.76;23.57;22.83;36.80;36.90;36.81;LAND TRANSPORT. TRANSPORT VIA PIPELINES;
2013;03;61;ΥΔΑΤΙΝΕΣ ΜΕΤΑΦΟΡΕΣ;520;763;609;1372;0.58;24.33;24.43;24.37;84.44;72.03;78.92;WATER TRANSPORT;
2013;03;62;ΕΝΑΕΡΙΕΣ ΜΕΤΑΦΟΡΕΣ;20;25;27;52;0.02;25.00;24.78;24.88;112.37;105.40;108.77;AIR TRANSPORT;
2013;03;63;ΒΟΗΘΗΤΙΚΕΣ ΚΑΙ ΣΥΝΑΦΕΙΣ ΠΡΟΣ ΤΙΣ ΜΕΤΑΦΟΡΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ. ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΤΑΞΙΔΙΩΤΙΚΩΝ ΠΡΑΚΤΟΡΕΙΩΝ;2877;3180;2738;5918;2.50;23.79;24.02;23.90;55.75;52.06;54.04;SUPPORTING AND AUXILIARY ACTIVITIES; ACTIVITIES OF TRAVEL AGENCIES;
2013;03;64;ΤΑΧΥΔΡΟΜΕΙΑ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ;988;1159;739;1898;0.80;23.85;23.40;23.67;38.20;35.93;37.32;POST AND TELECOMMUNICATIONS;
2013;03;65;ΕΝΔΙΑΜΕΣΟΙ ΧΡΗΜΑΤΟΠΙΣΤΩΤΙΚΟΙ ΟΡΓΑΝΙΣΜΟΙ. ΜΕ ΕΞΑΙΡΕΣΗ ΤΙΣ ΑΣΦΑΛΙΣΤΙΚΕΣ ΕΤΑΙΡΕΙΕΣ ΚΑΙ ΤΑ ΤΑΜΕΙΑ ΣΥΝΤΑΞΕΩΝ;145;105;149;254;0.11;24.17;24.24;24.21;99.75;55.01;73.47;FINANCIAL INTERMEDIATION. EXCEPT INSURANCE AND PENSION FUNDING;
2013;03;66;ΑΣΦΑΛΙΣΕΙΣ ΚΑΙ ΣΥΝΤΑΞΙΟΔΟΤΙΚΑ ΤΑΜΕΙΑ. ΕΚΤΟΣ ΑΠΌ ΤΗΝ ΥΠΟΧΡΕΩΤΙΚΗ ΚΟΙΝΩΝΙΚΗ ΑΣΦΑΛΙΣΗ;441;143;434;577;0.24;23.45;23.94;23.82;59.34;42.71;46.77;INSURANCE AND PENSION FUNDING. EXCEPT COMPULSORY SOCIAL SECURITY;
2013;03;67;ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΣΥΝΑΦΕΙΣ ΜΕ ΤΙΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΕΝΔΙΑΜΕΣΩΝ ΧΡΗΜΑΤΟΠΙΣΤΩΤΙΚΩΝ ΟΡΓΑΝΙΣΜΩΝ;1051;448;1026;1474;0.62;23.99;24.13;24.09;60.21;44.75;49.43;ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION;
2013;03;70;ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΣΧΕΤΙΚΕΣ ΜΕ ΑΚΙΝΗΤΗ ΠΕΡΙΟΥΣΙΑ;1025;769;753;1522;0.64;24.38;24.08;24.23;60.38;50.01;55.28;REAL ESTATE ACTIVITIES;
2013;03;71;ΕΚΜΙΣΘΩΣΗ ΜΗΧΑΝΗΜΑΤΩΝ ΚΑΙ ΕΞΟΠΛΙΣΜΟΥ ΧΩΡΙΣ ΧΕΙΡΙΣΤΗ. ΕΚΜΙΣΘΩΣΗ ΕΙΔΩΝ ΑΤΟΜΙΚΗΣ ΚΑΙ ΟΙΚΙΑΚΗΣ ΧΡΗΣΗΣ;508;413;324;737;0.31;22.99;22.37;22.72;40.69;33.84;37.72;RENTING OF MACHINERY AND EQUIPMENT WITHOUT OPERATOR AND OF PERSONAL AND HOUSEHOLD GOODS;
2013;03;ΚΩΔ;NA;Αριθμός;Αριθμός;NA;Ασφαλισμένων (2);NA;Μέση;Απασχόληση;(3);Μέσο;Ημερομίσθιο;(3);NA;
2013;03;COD;Οικονομική Δραστηριότητα;Επιχειρήσεων  No of Enterprises;Number Άνδρες Males;of Insured Γυναίκες Females;Individuals Σύνολο Total;(2) %;Average Άνδρες Males;Employment Γυναίκες Females;Σύνολο Total;Άνδρες Males;Average Wage Γυναίκες Females;(3) Σύνολο Total;Economic Activity;
2013;03;72;ΠΛΗΡΟΦΟΡΙΚΗ ΚΑΙ ΣΥΝΑΦΕΙΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ; 1870;2365;1311;3676;1.55;24.12;23.82;24.02;50.70;42.45;47.78;COMPUTER AND RELATED ACTIVITIES;
2013;03;73;ΕΡΕΥΝΑ ΚΑΙ ΑΝΑΠΤΥΞΗ;295;243;311;554;0.23;24.24;24.02;24.12;76.47;50.87;62.16;RESEARCH AND DEVELOPMENT;
2013;03;74;ΆΛΛΕΣ ΕΠΙΧΕΙΡΗΜΑΤΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ;15820;7519;12344;19863;8.40;23.45;23.65;23.58;44.91;39.66;41.64;OTHER BUSINESS ACTIVITIES;
2013;03;75;ΔΗΜΟΣΙΑ ΔΙΟΙΚΗΣΗ ΚΑΙ ΑΜΥΝΑ. ΥΠΟΧΡΕΩΤΙΚΗ ΚΟΙΝΩΝΙΚΗ ΑΣΦΑΛΙΣΗ;662;655;815;1470;0.62;27.93;27.91;27.92;54.49;57.40;56.10;PUBLIC ADMINISTRATION AND DEFENCE ; COMPULSORY SOCIAL SECURITY;
2013;03;80;ΕΚΠΑΙΔΕΥΣΗ;7211;988;3651;4639;1.96;21.01;21.59;21.47;33.44;29.98;30.70;EDUCATION;
2013;03;85;ΥΓΕΙΑ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΜΕΡΙΜΝΑ;9756;1480;8649;10129;4.28;24.02;24.04;24.04;41.24;37.51;38.06;HEALTH AND SOCIAL WORK;
2013;03;90;ΔΙΑΘΕΣΗ ΛΥΜΑΤΩΝ ΚΑΙ ΑΠΟΡΡΙΜΑΤΩΝ. ΥΓΙΕΙΝΗ ΚΑΙ ΠΑΡΟΜΟΙΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ;230;342;58;400;0.17;23.51;24.07;23.60;42.74;48.26;43.55;SEWAGE AND REFUSE DISPOSAL. SANITATION AND SIMILAR ACTIVITIES;
2013;03;91;ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΟΡΓΑΝΩΣΕΩΝ μακ;2772;1684;1792;3476;1.47;22.97;24.12;23.56;52.03;50.00;50.96;ACTIVITIES OF MEMBERSHIP ORGANIZATIONS NEC;
2013;03;92;ΨΥΧΑΓΩΓΙΚΕΣ.ΠΟΛΙΤΙΣΤΙΚΕΣ ΚΑΙ ΑΘΛΗΤΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ;3727;2282;1978;4260;1.80;23.23;23.06;23.15;39.62;39.90;39.75;RECREATIONAL. CULTURAL AND SPORTING ACTIVITIES;
2013;03;93;ΆΛΛΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ;6448;1982;6665;8647;3.66;22.66;20.48;20.98;34.25;30.43;31.37;OTHER SERVICE ACTIVITIES;
2013;03;95;ΙΔΙΩΤΙΚΑ ΝΟΙΚΟΚΥΡΙΑ ΠΟΥ ΑΠΑΣΧΟΛΟΥΝ ΟΙΚΙΑΚΟ ΠΡΟΣΩΠΙΚΟ;2507;804;341;1145;0.48;24.27;22.08;23.61;50.59;41.27;47.99;PRIVATE HOUSEHOLDS WITH EMPLOYED PERSONS;
2013;03;99;ΕΤΕΡΟΔΙΚΟΙ ΟΡΓΑΝΙΣΜΟΙ ΚΑΙ ΟΡΓΑΝΑ;130;142;177;319;0.13;24.92;24.50;24.68;73.35;66.83;69.76;EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES;
2013;03;NA;ΣΥΝΟΛΟ;166353;130381;106050;236431;100;22.80;22.82;22.81;41.93;38.53;40.40;TOTAL;
2013;03; Ως (2) Ο (3) Τα;αριθμός επιχειρήσεων λαμβάνεται ο αριθμός των ασφαλισμένων δεν είναι δραστηριότητα μετράται μία φορά στοιχεία αναφέρονται στους ασφαλισμένους τακτικές αποδοχές ΠΑΡΑΤΗΡΗΣΕΙΣ;συνολικός αριθμός των διακριτός Εάν ένας που εργάζονται;μονάδων ασφαλισμένος με πλήρες;(παραρτημάτων) απασχολείται ωράριο και;των σε τα μέσα;επιχειρήσεων διαφορετικούς ημερομίσθια;εργοδότες προκύπτουν;με την ίδια μόνο από;οικονομική τις;NA;NA;NA;NA;
2013;03;1 Η 2 Το  The (2) The (3) The;μέση απασχόληση δεν παρουσιάζει γενικό μέσο ημερομίσθιο των γυναικών Number of Enterprises refers to number number of insured individuals is not above figures refer to insured individuals COMMENTS;μεγάλες αποκλίσεις είναι το 91.9% του of units (branches) distinctIf the same who are employed;σχετικά με το γενικού of each person is full-time;φύλο (άνδρες. μέσου ημερομισθίου enterprise employed in and their;γυναίκες) των more than one average wages;ανδρών employers per day;with the do not;same include leave;economic activity benefits &;is counted season;as one bonuses;NA;NA;
2015;03;ΚΩΔ;NA;Αριθμός;Αριθμός;NA;(2) Ασφαλισμένων;NA;Μέση;Απασχόληση;(3);Μέσο;Ημερομίσθιο;(3);NA;
2015;03;COD;Οικονομική Δραστηριότητα; Επιχειρήσεων No of Enterprises;Άνδρες Number Males;Γυναίκες of Insured Females;Individuals Σύνολο Total;(2) %;Average Άνδρες Males;Employment Γυναίκες Females;Σύνολο Total;Άνδρες Males;Average Γυναίκες Wage Females;(3) Σύνολο Total;Economic Activity;
2015;03;ΑΓΝ;ΑΓΝΩΣΤΗ; 0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;UNKNOWN;
